"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000028954.11",2712.3674547139,1.813367080511,0.0932916197503246,19.4376202853386,3.70979060946471e-84,6.50652499565168e-82
"ENSMUSG00000027456.8",292.452498431888,5.90072802798542,0.305134763592356,19.3381047721868,2.56738883426829e-83,4.46440391736653e-81
"ENSMUSG00000026638.15",458.066557874809,7.33157643457698,0.379432571401973,19.3224751567516,3.4757790736689e-83,5.9927733265927e-81
"ENSMUSG00000044737.6",437.836051796094,7.1839574571943,0.372090117627207,19.3070364324801,4.6870759853714e-83,8.01332444725892e-81
"ENSMUSG00000025481.12",250.550691532079,4.61876459635519,0.239233984094575,19.3064735925197,4.73842376847043e-83,8.03360263079424e-81
"ENSMUSG00000002384.2",250.529912299864,4.44940293133762,0.231265638727064,19.2393602258774,1.73334583962356e-82,2.91445628984638e-80
"ENSMUSG00000035852.10",766.587025625084,8.70972537140076,0.452915873978414,19.2303380645384,2.06279119621232e-82,3.43995794155244e-80
"ENSMUSG00000033491.13",662.423366173339,2.67863673262084,0.139574767297152,19.1914110586914,4.36621852250108e-82,7.2220094179093e-80
"ENSMUSG00000040152.8",95125.4278172396,-1.87258020684676,0.0977658737013469,-19.1537203724796,9.01130390636228e-82,1.47850788689468e-79
"ENSMUSG00000006310.10",296.592061706372,5.64499643250507,0.29556820145189,19.0987948120796,2.58382626844463e-81,4.20543563452048e-79
"ENSMUSG00000027377.2",380.378987049562,7.06167305699722,0.370671203938395,19.0510430321177,6.44060505239903e-81,1.03995325230999e-78
"ENSMUSG00000034382.14",240.049948406347,4.17355315473151,0.219162826500111,19.0431617504686,7.4868608290811e-81,1.19937152415476e-78
"ENSMUSG00000052180.14",293.133602427069,4.70569473977582,0.247534602986482,19.0102502155337,1.402817800782e-80,2.22971313725858e-78
"ENSMUSG00000003283.14",359.886426784709,3.51941362287608,0.185763618603931,18.9456560403244,4.79576463528367e-80,7.56355282983304e-78
"ENSMUSG00000042367.12",553.55139951404,3.16524104943031,0.167638582516311,18.8813398557718,1.62413259846954e-79,2.54176751660483e-77
"ENSMUSG00000031298.15",2018.58018633473,-1.94476003651391,0.103048262122774,-18.8723225064861,1.9264287834733e-79,2.99184683967667e-77
"ENSMUSG00000030168.13",2461.9198154129,2.08053968952451,0.110326757917121,18.8579790506256,2.52695615130213e-79,3.89476688623044e-77
"ENSMUSG00000026450.14",360.576723063666,6.98557276205954,0.371519351892004,18.802715730647,7.17470371951342e-79,1.09751388852256e-76
"ENSMUSG00000025085.16",1484.87152077619,2.0903215161699,0.111653723716442,18.7214671091357,3.30910133042734e-78,5.02415422145853e-76
"ENSMUSG00000098678.1",271.779998811203,5.95456703794382,0.318309778404861,18.7068303957982,4.35518895751893e-78,6.56343106227574e-76
"ENSMUSG00000028111.4",1459.76897690534,-1.73530942618734,0.0932058704725848,-18.6180271413028,2.2951513341624e-77,3.43344513923044e-75
"ENSMUSG00000023092.16",1709.57667340078,-1.71891257983892,0.0925937325257167,-18.5640273153641,6.28143882415763e-77,9.32816590346621e-75
"ENSMUSG00000021182.14",238.947659218207,4.08570734994706,0.220156876939283,18.5581636456165,7.00587655245714e-77,1.03285911927348e-74
"ENSMUSG00000027544.16",367.054910778516,7.09927959721879,0.382711935900232,18.549929937564,8.16583621863352e-77,1.19520818610143e-74
"ENSMUSG00000033361.13",591.861892502167,2.39854692599886,0.129401992866227,18.5356258653483,1.06542977627863e-76,1.54829777131348e-74
"ENSMUSG00000087166.9",1535.88299580844,10.3649246152506,0.563693395746527,18.3875218220782,1.65367954347562e-75,2.38610711432705e-73
"ENSMUSG00000047501.3",1468.68433280873,10.3019320249864,0.560687435840518,18.3737522306754,2.13153304066298e-75,3.05394645861186e-73
"ENSMUSG00000006342.14",316.034034835603,3.44714569918641,0.189014283907277,18.2374878127065,2.60142958341678e-74,3.7011248164066e-72
"ENSMUSG00000071847.12",763.881319769063,2.15005482939189,0.117993460778339,18.2218134395682,3.4647975708123e-74,4.89522962348446e-72
"ENSMUSG00000039621.13",362.636130322327,3.68152766312821,0.202432919576452,18.186407975694,6.61349689914579e-74,9.27942030435318e-72
"ENSMUSG00000014846.12",536.735518623818,3.64979250214496,0.200796947237587,18.1765338186465,7.91832027179725e-74,1.10341250636791e-71
"ENSMUSG00000031803.8",248.58471422831,5.61315768264773,0.309574790220088,18.1318306915661,1.78709324525242e-73,2.47336136562317e-71
"ENSMUSG00000000120.6",241.533325071519,5.30068657441623,0.29291748564563,18.0961766851603,3.41570430939408e-73,4.69543947125828e-71
"ENSMUSG00000051375.15",329.347447978209,2.84769687569506,0.157398135701166,18.0923164242661,3.66359271551831e-73,5.0024022682698e-71
"ENSMUSG00000028581.17",356.032326392797,7.14880716349303,0.395211717980316,18.0885506128871,3.92268494915687e-73,5.32046835270644e-71
"ENSMUSG00000024529.13",35873.5505554327,-1.57155816339849,0.0870060902026764,-18.0626225099602,6.27684711015422e-73,8.45711618914488e-71
"ENSMUSG00000020782.18",809.472579219387,3.30054546556143,0.183395070643366,17.9969148242798,2.05978045164609e-72,2.75698903215393e-70
"ENSMUSG00000020173.17",709.972880174515,2.19539484743002,0.122101104606959,17.9801391191092,2.78792203040728e-72,3.707207431937e-70
"ENSMUSG00000051076.8",216.666412967784,4.74032676159697,0.264105455105,17.9486135934313,4.92033744814748e-72,6.50027697289353e-70
"ENSMUSG00000042306.11",690.343697107449,8.69469860113576,0.486013033519948,17.8898465709128,1.41497414284379e-71,1.85726767330045e-69
"ENSMUSG00000073722.3",563.829784197711,8.26231950947177,0.462159931721429,17.8776197207246,1.76200516509224e-71,2.2979484028078e-69
"ENSMUSG00000002228.7",243.912823769954,3.8552191792901,0.215763577548915,17.8677941063343,2.10141126715793e-71,2.72313453696357e-69
"ENSMUSG00000026249.10",14779.1359156198,-1.90792650863362,0.106980705362336,-17.8343048138598,3.82780914391935e-71,4.92890993879994e-69
"ENSMUSG00000021895.9",524.742574812847,2.54753886795377,0.14308172688473,17.8047813890737,6.488511041232e-71,8.302437555589e-69
"ENSMUSG00000011179.7",2540.76183796978,1.5400949109192,0.0865760804896693,17.7889193205388,8.61249180529699e-71,1.0951321611173e-68
"ENSMUSG00000030091.17",517.416327023368,8.14047947481397,0.458287243636077,17.7628323455546,1.37136394443023e-70,1.73294406518217e-68
"ENSMUSG00000000889.8",232.853333060733,5.13083894364541,0.289028915758656,17.7519918039265,1.66348110367239e-70,2.08910636137128e-68
"ENSMUSG00000044641.7",285.163368393112,3.0344067682174,0.17109653327847,17.7350569884354,2.24868189985157e-70,2.80671369647118e-68
"ENSMUSG00000027220.2",979.767680345907,-2.22839966832068,0.125675693850745,-17.7313496352538,2.40198438742057e-70,2.97977880256534e-68
"ENSMUSG00000026981.15",4977.92881007226,-1.67602157277516,0.0946827104001049,-17.7014532610307,4.08625255096806e-70,5.0384732211785e-68
"ENSMUSG00000025357.7",859.961375309635,2.09168583527817,0.118439844463227,17.6603223751074,8.47542267094956e-70,1.0387498448221e-67
"ENSMUSG00000044393.15",322.678867386231,7.00353649124297,0.397148536876882,17.6345519142982,1.33752258180494e-69,1.6294549057977e-67
"ENSMUSG00000018411.17",225.336214304669,5.1993554033271,0.296067895859447,17.5613616877779,4.86929964256502e-69,5.89677983499913e-67
"ENSMUSG00000028392.15",274.682498603061,6.50771597553285,0.370956532202243,17.5430688250689,6.71985057557677e-69,8.08966626982896e-67
"ENSMUSG00000036553.16",215.091886028903,3.47467661806328,0.198459666556976,17.50822561755,1.23999329953994e-68,1.48398021642e-66
"ENSMUSG00000050296.14",292.794484848955,6.67879653476758,0.381527092091337,17.5054319161395,1.30235398055097e-68,1.54949659264967e-66
"ENSMUSG00000078670.3",304.60010294772,2.79221370594509,0.159739507530893,17.479794129233,2.04235075436409e-68,2.41579221497311e-66
"ENSMUSG00000037465.9",1629.33957411365,1.82272549787335,0.10432834795921,17.4710472611528,2.38084144374612e-68,2.79989706202398e-66
"ENSMUSG00000036473.15",1415.97543033003,1.7512784689312,0.100264728641074,17.4665457401316,2.5762791164732e-68,3.01232176003719e-66
"ENSMUSG00000024222.16",766.827490216075,2.11022529052846,0.121132918922993,17.4207416884752,5.74278659712019e-68,6.67639961819487e-66
"ENSMUSG00000038028.9",846.264410679321,2.3778654561649,0.13662863857981,17.4038582312002,7.71284962069216e-68,8.91579122346489e-66
"ENSMUSG00000049044.16",229.088696177989,5.4897635032864,0.315458725568775,17.4024779101872,7.90099323502886e-68,9.0816783822973e-66
"ENSMUSG00000023039.16",506.825167990582,3.37321899199462,0.193978001345778,17.3896986699108,9.8752052693304e-68,1.12871377081195e-65
"ENSMUSG00000022596.3",1259.1638454133,2.37311438530946,0.137058428510846,17.3146183791365,3.64933770232305e-67,4.14780869015433e-65
"ENSMUSG00000041649.13",478.098343435613,3.28631614408449,0.190049198817961,17.2919231679177,5.41162858609391e-67,6.11664353244893e-65
"ENSMUSG00000026202.13",1820.00633243036,2.17923703101501,0.126175888665838,17.2714220922705,7.7215987438823e-67,8.67933295272295e-65
"ENSMUSG00000041605.16",271.727182754815,2.982841597113,0.172833858437441,17.2584331801669,9.66993343208861e-67,1.08096041580133e-64
"ENSMUSG00000032420.8",1377.26967110517,2.44419846766414,0.141825203682499,17.2338794812233,1.47891330816374e-66,1.64417984997767e-64
"ENSMUSG00000092035.8",1382.86621190982,1.63909549927617,0.095208637579447,17.2158276911423,2.02038496102341e-66,2.23395282782724e-64
"ENSMUSG00000092060.4",275.181099302443,4.3193293020974,0.251679677380678,17.1620106440465,5.11130633476255e-66,5.62105553409428e-64
"ENSMUSG00000052397.8",2234.24834311946,1.91364713202511,0.111897567271988,17.1017760142509,1.43949959863536e-65,1.57454942657185e-63
"ENSMUSG00000035773.5",212.012955481119,4.56240942913359,0.267196701208054,17.0750963934284,2.27449785277617e-65,2.47458068527974e-63
"ENSMUSG00000014602.15",2170.62880335807,-1.76727725148847,0.103723110640045,-17.0384135279314,4.26135017220263e-65,4.61155155603524e-63
"ENSMUSG00000001021.12",205.198619489943,5.72200654538589,0.336387191151556,17.0101796260366,6.90258215718696e-65,7.43031925862268e-63
"ENSMUSG00000042724.7",193.377261077909,3.82054187481519,0.224883741041446,16.988964418335,9.91238031023632e-65,1.06140724953557e-62
"ENSMUSG00000041235.11",263.088369651476,2.9514158997976,0.173922777252437,16.969691643745,1.37652955011015e-64,1.46625621450215e-62
"ENSMUSG00000038235.4",1197.57585463416,2.22038077212628,0.130947816693219,16.9562259852574,1.73112472339617e-64,1.83436106757787e-62
"ENSMUSG00000028766.10",186.365105147727,4.68747565406705,0.276516730394276,16.95186995515,1.86428731617311e-64,1.9652292978001e-62
"ENSMUSG00000074743.4",2628.81180801736,-1.55415580604902,0.0918535310872874,-16.9199353323948,3.20782519609604e-64,3.36408266054505e-62
"ENSMUSG00000021696.8",335.633035294982,3.47295037862174,0.205286903907554,16.9175447265049,3.34069733097186e-64,3.48546088198064e-62
"ENSMUSG00000054423.13",193.846039556533,4.20713268256188,0.248843937103995,16.9067116182287,4.01495697998182e-64,4.16756631416991e-62
"ENSMUSG00000029168.14",543.593999553069,8.50274675295308,0.503158478349243,16.8987448663268,4.5958538546281e-64,4.74632724225425e-62
"ENSMUSG00000041119.11",187.324312247532,4.00896990009377,0.2372786959185,16.8956167117117,4.84620250350818e-64,4.97959545120575e-62
"ENSMUSG00000029246.14",919.409755945613,2.06434264691661,0.122440608759625,16.8599508596803,8.86627319594375e-64,9.06453910409425e-62
"ENSMUSG00000034730.16",369.552629398304,7.41352593084171,0.439851779668081,16.8546002847506,9.70620988187167e-64,9.87364200233396e-62
"ENSMUSG00000003469.9",250.137910274333,6.54329539017582,0.389423144791612,16.8025333822345,2.33839458313071e-63,2.36689740267633e-61
"ENSMUSG00000032561.15",198.818480160095,4.81362585494371,0.286612960084166,16.7948645920622,2.6611108474718e-63,2.68021288078286e-61
"ENSMUSG00000003032.8",4604.54275892272,1.96284914041066,0.117323894429891,16.7301737633982,7.90074587298005e-63,7.918259841664e-61
